channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserSize,device.browserVersion,device.deviceCategory,device.flashVersion,device.isMobile,device.language,device.mobileDeviceBranding,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.mobileDeviceModel,device.mobileInputSelector,device.operatingSystem,device.operatingSystemVersion,device.screenColors,device.screenResolution,geoNetwork.city,geoNetwork.cityId,geoNetwork.continent,geoNetwork.country,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.networkLocation,geoNetwork.region,geoNetwork.subContinent,totals.bounces,totals.hits,totals.newVisits,totals.pageviews,totals.transactionRevenue,totals.visits,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.campaignCode,trafficSource.isTrueDirect,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source
Organic Search,20160902,3053576296023059465,3053576296023059465_1472808484,Not Socially Engaged,1472808484,1,1472808484,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Bangkok,not available in demo dataset,Asia,Thailand,not available in demo dataset,not available in demo dataset,(not set),asianet.co.th,not available in demo dataset,Bangkok,Southeast Asia,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,702736826487255366,702736826487255366_1472806593,Not Socially Engaged,1472806593,1,1472806593,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,Jakarta,not available in demo dataset,Asia,Indonesia,not available in demo dataset,not available in demo dataset,(not set),cbn.net.id,not available in demo dataset,Jakarta,Southeast Asia,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,8794587387581803040,8794587387581803040_1472816048,Not Socially Engaged,1472816048,1,1472816048,Internet Explorer,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset,hafele.com,not available in demo dataset,not available in demo dataset,Western Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,3293772317640873624,3293772317640873624_1472808002,Not Socially Engaged,1472808002,1,1472808002,Firefox,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,France,not available in demo dataset,not available in demo dataset,not available in demo dataset,coltfrance.com,not available in demo dataset,not available in demo dataset,Western Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,1283542838194038522,1283542838194038522_1472885255,Not Socially Engaged,1472885255,1,1472885255,Safari,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Hungary,not available in demo dataset,not available in demo dataset,not available in demo dataset,broadband.hu,not available in demo dataset,not available in demo dataset,Eastern Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Referral,20160902,4339756682310369249,4339756682310369249_1472828340,Not Socially Engaged,1472828340,1,1472828340,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,Bengaluru,not available in demo dataset,Asia,India,not available in demo dataset,not available in demo dataset,(not set),unknown.unknown,not available in demo dataset,Karnataka,Southern Asia,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,,referral,/,googleweblight.com
Organic Search,20160902,7598520899202646361,7598520899202646361_1472839261,Not Socially Engaged,1472839261,1,1472839261,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Asia,Malaysia,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,Southeast Asia,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,602999120596767867,602999120596767867_1472811390,Not Socially Engaged,1472811390,1,1472811390,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,London,not available in demo dataset,Europe,United Kingdom,not available in demo dataset,not available in demo dataset,London,threembb.co.uk,not available in demo dataset,England,Northern Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,1438836965936298791,1438836965936298791_1472833322,Not Socially Engaged,1472833322,1,1472833322,Internet Explorer,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Denmark,not available in demo dataset,not available in demo dataset,not available in demo dataset,tdc.net,not available in demo dataset,not available in demo dataset,Northern Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,3982295596181714479,3982295596181714479_1472825889,Not Socially Engaged,1472825889,1,1472825889,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Asia,Taiwan,not available in demo dataset,not available in demo dataset,not available in demo dataset,hinet.net,not available in demo dataset,not available in demo dataset,Eastern Asia,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,6035953832076917545,6035953832076917545_1472811667,Not Socially Engaged,1472811667,1,1472811667,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Amsterdam,not available in demo dataset,Europe,Netherlands,not available in demo dataset,not available in demo dataset,(not set),(not set),not available in demo dataset,North Holland,Western Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,7744123436363299201,7744123436363299201_1472809248,Not Socially Engaged,1472809248,1,1472809248,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,Moscow,not available in demo dataset,Europe,Russia,not available in demo dataset,not available in demo dataset,(not set),rambler.ru,not available in demo dataset,Moscow,Eastern Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,3302616028763797827,3302616028763797827_1472804987,Not Socially Engaged,1472804987,1,1472804987,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Austria,not available in demo dataset,not available in demo dataset,not available in demo dataset,billa.co.at,not available in demo dataset,not available in demo dataset,Western Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,8385778325939846892,8385778325939846892_1472836625,Not Socially Engaged,1472836625,1,1472836625,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Africa,Nigeria,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,Western Africa,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,www google store,organic,,google
Organic Search,20160902,062441254657008214,062441254657008214_1472875520,Not Socially Engaged,1472875520,1,1472875520,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Oceania,Australia,not available in demo dataset,not available in demo dataset,not available in demo dataset,uwa.edu.au,not available in demo dataset,not available in demo dataset,Australasia,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,0676298261706930871,0676298261706930871_1472815056,Not Socially Engaged,1472815056,1,1472815056,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Netherlands,not available in demo dataset,not available in demo dataset,not available in demo dataset,uvt.nl,not available in demo dataset,not available in demo dataset,Western Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,542217492398994444,542217492398994444_1472822034,Not Socially Engaged,1472822034,1,1472822034,Chrome,not available in demo dataset,not available in demo dataset,desktop,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Belgium,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobistar.be,not available in demo dataset,not available in demo dataset,Western Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,4588864985272968779,4588864985272968779_1472837280,Not Socially Engaged,1472837280,1,1472837280,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Italy,not available in demo dataset,not available in demo dataset,not available in demo dataset,fastwebnet.it,not available in demo dataset,not available in demo dataset,Southern Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
Organic Search,20160902,1397786681184924394,1397786681184924394_1472822131,Not Socially Engaged,1472822131,1,1472822131,Chrome,not available in demo dataset,not available in demo dataset,mobile,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,Europe,Denmark,not available in demo dataset,not available in demo dataset,not available in demo dataset,3.dk,not available in demo dataset,not available in demo dataset,Northern Europe,1,1,1,1,,1,,,not available in demo dataset,,,,,(not set),,,(not provided),organic,,google
